,question,answer,question_type,image
114,Some animals can get sunburn. True or False?,"True (Animals like dogs, cats and cows can get sunburns at the tip of their noses and ears).",General Knowledge For Kids,
115,William Shakespeare is a scientist. True or False?,False (He is a dramatist),General Knowledge For Kids,
116,Whales have belly buttons. True or False?,TRUE,General Knowledge For Kids,
117,Sharks are color blind. True or False?,FALSE,General Knowledge For Kids,
118,Mumbai is the capital of India. True or False?,False (Delhi is the capital of India),General Knowledge For Kids,
119,Camels store water in their humps. True or False?,TRUE,General Knowledge For Kids,
120,Humans have four hearts. True or False?,False (Humans have one heart with four chambers),General Knowledge For Kids,
121,All tigers have yellow eyes. True or False?,TRUE,General Knowledge For Kids,
122,A pediatrician is a child specialist. True or False?,TRUE,General Knowledge For Kids,
123,Arachnophobia is the fear of dogs. True or False?,False (It is the fear of spiders),General Knowledge For Kids,
124,Dodo is an endangered bird. True or False?,False (Dodo is an extinct bird),General Knowledge For Kids,
125,Bhagat Singh is a Freedom fighter of India. True or False?,TRUE,General Knowledge For Kids,
126,Washington DC is the capital of China. True or False?,False (Beijing is the capital of China),General Knowledge For Kids,
127,June 5 is celebrated as Environment Day. True or False?,TRUE,General Knowledge For Kids,
128,"Laika, the dog is the first animal to go to space. True or False?",TRUE,General Knowledge For Kids,
129,Roman Calendar is named as Julian Calendar. True or False?,TRUE,General Knowledge For Kids,
130,There are 12 players in a cricket team. True or False?,False (There are 11 players in a cricket team),General Knowledge For Kids,
131,"Ball, Bat, Stump, Hockey stick. True or False?",Hockey stick,General Knowledge For Kids,
132,"Hen, Dove, Pigeon, Cat",Cat,General Knowledge For Kids,
133,"Hammer, Blacksmith, Carpenter, Cobbler",Hammer,General Knowledge For Kids,
134,"Jeep, Car, Bike, Boat",Boat,General Knowledge For Kids,
135,"Doctor, Surgeon, Nurse, Teacher",Teacher,General Knowledge For Kids,
136,"Mother, Father, Brother, Friend",Friend,General Knowledge For Kids,
137,"Earth, Mercury, Jupiter, Pluto",Pluto,General Knowledge For Kids,
138,"Cabbage, Potato, Capsicum, Tomato",Potato,General Knowledge For Kids,
139,"Pen, Pencil, Eraser, Ink Pen",Eraser,General Knowledge For Kids,
140,"Aeroplane, Helicopter, Ship, Jet",Ship,General Knowledge For Kids,
141,"Carrot, Mango, Banana, Apple",Carrot,General Knowledge For Kids,
142,"Cow, Lion, Dog, Cat",Lion,General Knowledge For Kids,
143,"2, 6, 7, 10",7,General Knowledge For Kids,
144,"P J  Abdul Kalaam, C V  Raman, Issac Newton, William Shakespeare",William Shakespeare,General Knowledge For Kids,
145,"Dispur, Pune, Patna, Shimla",Pune,General Knowledge For Kids,
146,"1, 2, 4, 5",4,General Knowledge For Kids,
147,"Asia, Europe, China, Australia",China,General Knowledge For Kids,
148,"Radio, Television, Loudspeaker, Stereo",Television,General Knowledge For Kids,
149,"Respiration, Digestion, Excretion, Photosynthesis",Photosynthesis,General Knowledge For Kids,
150,"Hydrogen, Hypochlorite, Helium, Lithium",Hypochlorite,General Knowledge For Kids,
151,"Noun, Pronoun, Articles, Adverb",Articles,General Knowledge For Kids,
152,"Throat, Tongue, Nose, Ears",Throat,General Knowledge For Kids,
153,"Coffee Powder, Chili Powder, Tea Powder, Green Tea Powder",Chilli Powder,General Knowledge For Kids,
154,"Vitamin A, Vitamin B, Vitamin D, Vitamin K",Vitamin B,General Knowledge For Kids,
155,"Dinosaur, Elephant, Hippopotamus, Giraffe",Dinosaur,General Knowledge For Kids,
156,What is the place where books are kept called? a) Zoo b) Library c) Garden d) Museum,B. Library,General Knowledge For Kids,
157,How many digits are there in Mathematics? a) Hundred b) Thousand c) Billion d) Infinite,D. Infinite,General Knowledge For Kids,
158,Who is the first Prime Minister of India? a) P.J. Abdul Kalaam b) Jawaharlal Nehru c) Indira Gandhi d) Narendra Modi,B. Jawaharlal Nehru,General Knowledge For Kids,
159,How many bananas will there be in a dozen banana? a) 8 b) 9 c) 10 d) 12,D.12,General Knowledge For Kids,
160,Who is Mickey Mouse? a) Actor b) Scientist c)  Cartoon Character d) Doctor,C. Cartoon Character,General Knowledge For Kids,
161,Who is the author of “God of Small Things”? a) Gabriel Garcia Marquez b) Aravind Adiga c) Arundhati Roy d) Victor Hugo,C. Arundhati Roy,General Knowledge For Kids,
162,What is the value of Pie? a) 14 b) 916 c) 13 d) 34,A. 3.14 (22/7),General Knowledge For Kids,
163,What is the position of Earth in our Solar system? a) First b) Second c) Third d) Fourth,C. Third,General Knowledge For Kids,
164,Which is the biggest continent? a)Asia b) Africa c) Australia d) Europe,A. Asia,General Knowledge For Kids,
165,How many wonders do we have in the world? a) Six b) Seven c) Eight d) Nine,B. Seven,General Knowledge For Kids,
166,Who found the concept of “Gravitation” for the first time? a) Albert Einstein b) Charles Darwin c) Issac Newton d) V. Raman,C. Issac Newton,General Knowledge For Kids,
167,Who is the author of “Julius Caesar”? a) William Shakespeare b) Geoffrey Chaucer c) John Milton d) Sylvia Plath,A. William Shakespeare,General Knowledge For Kids,
168,When is UN day celebrated? a) October 21 b) June 24 c) October 24 d) June 21,C. October 24,General Knowledge For Kids,
169,What are constellations? a) Group of planets b) Group of galaxies c) Group of stars d) Group of meteors,C. Group of stars,General Knowledge For Kids,
170,Which planet is known as “The Blue Planet”? a) Mercury b) Venus c) Uranus d) Earth,D. Earth,General Knowledge For Kids,
171,What is the person who compiles a dictionary called? a) Lexicographer b) Editor c) Compiler d) Director,A. Lexicographer,General Knowledge For Kids,
172,What is the driver of a Train called? a) Pilot b) Train Driver c) Locopilot d) Captain,C. Locopilot,General Knowledge For Kids,
173,What is the full form of RBI? a) Reputed Bank of India b) Reserve Bank of India c) Recovery Bank of India d) Reduced Bank of India,B. Reserve Bank of India,General Knowledge For Kids,
174,What is the “Fear of Darkness” called? a) Nyctophobia b) Ablutophobia c) Ophidiophobia d) Arachnophobia,A. Nyctophobia,General Knowledge For Kids,
175,What is the capital city of Peru? a) Lima b) Rome c) Los Angeles d) Prague,A. Lima,General Knowledge For Kids,
176,How many states are there in India? a) 27 b) 28 c) 29 d) 30,B. 29,General Knowledge For Kids,
177,Who discovered Aeroplane? a) Wright Brothers b) Steve Waugh c) Albert Einstein d) Stephen Hawking,A. Wright Brothers,General Knowledge For Kids,
178,Which bird is the universal symbol of Peace? a) Pigeon b) Dove c) Peacock d) Pelican,B. Dove,General Knowledge For Kids,
179,What causes Anemia? a) By the deficiency of Iron b) By the deficiency of Iodine c) By the deficiency of Vitamin D d) By the deficiency Calcium,A. By the deficiency of Iron,General Knowledge For Kids,
180,Who is a “Chef”? a) A person who drives a car b) A person who cooks food c) A person who acts d) A person who treats patients,B. A person who cooks food,General Knowledge For Kids,
181,What is the color of the sky?,Blue,General Knowledge For Kids,
182,What is the job of a Doctor?,A Doctor treats sick people.,General Knowledge For Kids,
183,What comes after 10 and before 13?,12,General Knowledge For Kids,
184,Where does fish live?,In Water,General Knowledge For Kids,
185,What is sun?,Sun is a big ball of fire.,General Knowledge For Kids,
186,Who is Virat Kohli?,Indian Cricketer,General Knowledge For Kids,
187,How many noses do you have?,One,General Knowledge For Kids,
188,What is the color of Mango?,Yellow,General Knowledge For Kids,
189,In which planet do we live?,Earth,General Knowledge For Kids,
190,What is the young one of a cat called?,Kitten,General Knowledge For Kids,
191,How many years are there in a century?,Hundred,General Knowledge For Kids,
192,Which is the national game of India?,Hockey,General Knowledge For Kids,
193,What is the full form of TV?,Television,General Knowledge For Kids,
194,Solve 27*0,Zero (Any number multiplied by zero gives zero as the answer),General Knowledge For Kids,
195,Which all animals give us milk?,"Cow, goat and buffalo",General Knowledge For Kids,
196,What is the home of a lion called?,Den,General Knowledge For Kids,
197,How many days are there in a week?,Seven,General Knowledge For Kids,
198,Where do we deposit money?,Bank,General Knowledge For Kids,
199,What is the place where animals are kept called?,Zoo,General Knowledge For Kids,
200,What is COVID-19?,It is deadly disease spread across the world during 2019 and 2020.,General Knowledge For Kids,
201,What is Beri-Beri?,It is a disease caused due to the deficiency of Vitamin B,General Knowledge For Kids,
202,Where do we get coconut from?,We get coconut from coconut Tree,General Knowledge For Kids,
203,Which state in India is known as “God’s Own Country”?,Kerala,General Knowledge For Kids,
204,How do plants make food?,Plants make food through the process called Photosynthesis.,General Knowledge For Kids,
205,Which place is known as the “Land of White Elephants”?,Thailand,General Knowledge For Kids,
206,How many players are there in each side of a Hockey team?,11,General Knowledge For Kids,
207,How many players are there in each side of a Basket Ball team?,5,General Knowledge For Kids,
208,Commonwealth Games are held in every _ years,4 years,General Knowledge For Kids,
209,How many Grand Slam Tennis Tournaments are held every year?,4,General Knowledge For Kids,
210,"In which sports, the term HAT-TRICK is used?",Cricket,General Knowledge For Kids,
211,Number of players in one team of Kho Kho are,Nine,General Knowledge For Kids,
212,Eden Gardens cricket stadium is in –,Calcutta,General Knowledge For Kids,
213,Which country will host Cricket World Cup 2019 –,England,General Knowledge For Kids,
214,Football was introduced as a competitive game in Olympics in year –,1908,General Knowledge For Kids,
215,Hockey is the National sports of –,India and Pakistan,General Knowledge For Kids,
216,Which is the National sport of Canada?,Lacrosse/Ice hockey,General Knowledge For Kids,
217,_ has Cricket as its National S,Jamaica,General Knowledge For Kids,
218,_ is the national sport of Turkey,Wrestling,General Knowledge For Kids,
219,In which country Commonwealth games were held in 2010?,India,General Knowledge For Kids,
220,Which country has hosted Commonwealth Games for the maximum number of times?,Canada,General Knowledge For Kids,
221,Caddie is related to __________,Golf,General Knowledge For Kids,
222,In which year Olympic Games were cancelled because of World War I?,1916,General Knowledge For Kids,
223,Who was the winner of Football World Cup in 2010?,Spain,General Knowledge For Kids,
224,Where did the game of Badminton originate from?,Pune,General Knowledge For Kids,
225,When is national sports day of India celebrated?,August 22,General Knowledge For Kids,
226,When was women’s and men’s doubles introduced in Wimbledon?,1884,General Knowledge For Kids,
227,Who among the following is known as “Flying Sikh of India”,Milkha Singh,General Knowledge For Kids,
228,Total Olympic medals won by India in 2012,Six,General Knowledge For Kids,
229,The only driver in Indian Grand Prix 2011 is,Alice Powell,General Knowledge For Kids,
230,How many months are there in a year?,12,GK Questions For Class 1,
231,How many days are there in a week?,7,GK Questions For Class 1,
232,How many days are there in a year?,365,GK Questions For Class 1,
233,Which number comes after 15?,16,GK Questions For Class 1,
234,How many colours are there in a rainbow?,7,GK Questions For Class 1,
235,We use our ears to ______.,Hear,GK Questions For Class 1,
236,Name the day that comes after Tuesday?,Wednesday,GK Questions For Class 1,
237,How many vowels are there in the English alphabet?,5,GK Questions For Class 1,
238,A cow has ____ legs.,4,GK Questions For Class 1,
239,Which gas do humans need to breathe to live?,Oxygen,GK Questions For Class 1,
240,Which month comes after October?,November,GK Questions For Class 1,
241,How many zeroes are there in one thousand?,Three,GK Questions For Class 1,
242,How many hands do you have?,2,GK Questions For Class 1,
243,We chew food using our ____________.,Teeth,GK Questions For Class 1,
244,Which sense organ do you use to smell?,Nose,GK Questions For Class 1,
245,Which part of the plant is brown and below the ground?,Roots,GK Questions For Class 1,
246,Which part of a plant has seeds?,Fruit,GK Questions For Class 1,
247,Which part of a plant soaks up nutrients and water from the soil?,Root,GK Questions For Class 1,
248,Which bird has a far sight and turns its head all the way round?,Owl,GK Questions For Class 1,
249,Which animal eats mice?,20,GK Questions For Class 1,
250,Which animal wags its tail and lives in a kennel?,Dog,GK Questions For Class 1,
251,Which animal has a long nose known as trunk?,Elephant,GK Questions For Class 1,
252,Which animal likes honey?,Bear,GK Questions For Class 1,
253,Name a cunning animal?,Fox,GK Questions For Class 1,
254,Which animal has a long neck?,Giraffe,GK Questions For Class 1,
255,Which animal has black and white stripes on its body?,Zebra,GK Questions For Class 1,
256,Which animal gives us wool?,Sheep,GK Questions For Class 1,
257,February has _____ days in a leap year.,29,GK Questions For Class 1,
258,Which is the largest river island in Asia?,Majuli Island (Assam),GK Questions For Class 1,
259,Which shape has three sides?,Triangle,GK Questions For Class 1,
260,How many weeks are there in a year?,52 Week,GK Questions For Class 1,
261,There are ____ months in a year.,12,GK Questions For Class 1,
262,Name the shape with five sides?,Pentagon,GK Questions For Class 1,
263,Home of a pig is called ______.,Sty,GK Questions For Class 1,
264,Name the largest island in the world?,Greenland,GK Questions For Class 1,
265,Which is the largest mammal on Earth?,Blue Whale,GK Questions For Class 1,
266,What is the name of the story where Ella leaves her glass slipper while attending the royal ball?,Cinderella,GK Questions For Class 1,
267,Which fairy tale character meets seven dwarfs in a cottage?,Snow White,GK Questions For Class 1,
268,Name the fairy tale character with long golden hair trapped in a tower?,Rapunzel,GK Questions For Class 1,
269,"Name the fairy tale character, who is a poor thief and has a magic lamp?",Aladdin,GK Questions For Class 1,
270,Which fairy tale character meets a Big Bad wolf while going to visit her grandmother in the woods?,Little Red Riding Hood,GK Questions For Class 1,
271,"Name the story in which a young girl falls through a rabbit hole, goes to a fantasy world and meets many strange characters?",Alice’s Adventures in Wonderland,GK Questions For Class 1,
272,Name the shape with seven sides?,Heptagon,GK Questions For Class 1,
273,Planet Earth is shaped like a __________.,Sphere,GK Questions For Class 1,
274,A shape with six sides is called ________.,Hexagon,GK Questions For Class 1,
275,A shape with ten sides is called ________.,Decagon,GK Questions For Class 1,
276,How many sides does an octagon have?,8,GK Questions For Class 1,
277,What is the color of human blood?,Red,GK Questions For Class 1,
278,Which colour symbolizes peace?,White,GK Questions For Class 1,
279,In which season do we use cotton clothes?,Summer,GK Questions For Class 1,
280,The colour of cow’s milk is ________.,White,GK Questions For Class 1,
281,What comes after 35?,36,GK Questions For Class 1,
282,The tusks of elephants are made of ______.,Ivory,GK Questions For Class 1,
283,Kangaroos have _____ to carry their young ones.,Pouches,GK Questions For Class 1,
284,Cheese is made from _______.,Milk,GK Questions For Class 1,
285,Taste of sugar is _______.,Sweet,GK Questions For Class 1,
286,Taste of tamarind is _______.,Sour,GK Questions For Class 1,
287,We wear a watch on our _______.,Wrist,GK Questions For Class 1,
288,What is 10+4?,14,GK Questions For Class 1,
289,A goat has ______ legs.,4,GK Questions For Class 1,
290,Earth has ____ natural satellite(s).,1,GK Questions For Class 1,
291,The leaves of a tree fall during which season?,Autumn,GK Questions For Class 1,
292,A person who goes to space is called an ________.,Astronaut,GK Questions For Class 1,
293,A young frog is called a _______.,Tadpole,GK Questions For Class 1,
294,Which colour of the traffic light indicates “wait”?,Yellow,GK Questions For Class 1,
295,Which is the first letter of the English alphabet?,A,GK Questions For Class 1,
296,Whom do we call to put out fire?,Fireman,GK Questions For Class 1,
297,Name the vehicle used by firemen?,Fire engine,GK Questions For Class 1,
298,Orange is a source of which vitamin?,Vitamin C,GK Questions For Class 1,
299,Humans have _____ toes.,Ten,GK Questions For Class 1,
300,A hen lives in a _____.,Coop,GK Questions For Class 1,
301,Your father’s brother is your _________.,Uncle,GK Questions For Class 1,
302,Which insect makes a web?,Spider,GK Questions For Class 1,
303,Which magic word do you use while asking for something?,Please,GK Questions For Class 1,
304,Which magic word do you use when someone helps you?,Thank you,GK Questions For Class 1,
305,Which of these is a green-colored vegetable?,C. Pea ,GK Questions For Class 1,
306,What is the Color of the Leaves?,B. Green,GK Questions For Class 1,
307,Identify the Tree,A. Coconut Tree,GK Questions For Class 1,images/0.jpeg
308,Who is the king of the jungle?,B. Lion,GK Questions For Class 1,
309,Which part of your body do you use to see?,D. Eyes,GK Questions For Class 1,
310,How many fingers are there in your hands?,D. Ten,GK Questions For Class 1,
311,Which of the following animals give us milk?,A. Cow,GK Questions For Class 1,
312,What is the color of sunflowers?,B. Yellow,GK Questions For Class 1,
313,Which animal is known as “Ship of Desert”?,C. Camel,GK Questions For Class 1,
314,How many legs do you have?,Two,GK Questions For Class 1,
315,Which animal guards our house?,Dog,GK Questions For Class 1,
316,Identify the bird,Peacock,GK Questions For Class 1,images/1.jpeg
317,What is the color of your hair?,Black,GK Questions For Class 1,
318,How many wheels does a cycle have?,Two,GK Questions For Class 1,
319,Name the four main directions?,"North, East, West, and South",GK Questions For Class 1,
320,What food does a cow eat?,Grass,GK Questions For Class 1,
321,Which number comes after 10?,11,GK Questions For Class 1,
322,Which means of transport do you use in water?,Ship,GK Questions For Class 1,
323,How many alphabets are there in the English language?,26,GK Questions For Class 1,
324,Where do you go when you are sick?,Hospital,GK Questions For Class 1,
325,A person who teaches us is known as___________?,Teacher,GK Questions For Class 1,
326,Name the vowels in English.,"A,E,I,O,U",GK Questions For Class 1,
327,How many sense organs do we have?,Five,GK Questions For Class 1,
328,What is the color of the sky?,Blue,GK Questions For Class 1,
329,What sound does a dog make?,Bow-Bow,GK Questions For Class 1,
330,Name the shape with three sides?,Triangle,GK Questions For Class 2,
331,What is the smallest two digit number?,10,GK Questions For Class 2,
332,Which shape has no sides and corners?,Circle,GK Questions For Class 2,
333,Which shape has all four of its sides equal?,Square,GK Questions For Class 2,
334,What is the largest two digit number?,99,GK Questions For Class 2,
335,What is the smallest even number?,2,GK Questions For Class 2,
336,What is the place value of 4 in 654?,Ones,GK Questions For Class 2,
337,4 times 8 equals ___________.,32,GK Questions For Class 2,
338,40+20 equals to ____________.,60,GK Questions For Class 2,
339,An adult human has _________ teeth.,32,GK Questions For Class 2,
340,Which animal gives us wool?,Sheep,GK Questions For Class 2,
341,What do we get when water freezes?,Ice,GK Questions For Class 2,
342,What is a house made of snow called?,Igloo,GK Questions For Class 2,
343,What kind of clothes do we wear during winter?,Woollen clothes,GK Questions For Class 2,
344,What are the white lines where we cross the road called?,Zebra Crossing,GK Questions For Class 2,
345,A lion lives in a ______.,Den,GK Questions For Class 2,
346,Sun rises in the ________.,East,GK Questions For Class 2,
347,Sun sets in the _________.,West,GK Questions For Class 2,
348,What does the red light of a traffic signal indicate?,20,GK Questions For Class 2,
349,What does green light of a traffic signal indicate?,Go,GK Questions For Class 2,
350,India has _____ states.,28,GK Questions For Class 2,
351,What does a caterpillar turn into?,Butterfly,GK Questions For Class 2,
352,Which Indian city is known as “Pink City”?,Jaipur,GK Questions For Class 2,
353,Which is the largest cat in the world?,Siberian tiger,GK Questions For Class 2,
354,Which animal is known as the “ship of the desert”?,Camel,GK Questions For Class 2,
355,Which planet do we live on?,Earth,GK Questions For Class 2,
356,How many players are there in a cricket team?,11,GK Questions For Class 2,
357,The doctor who takes care of our teeth is called ________.,Dentist,GK Questions For Class 2,
358,Name the bird that lays the largest eggs?,Ostrich,GK Questions For Class 2,
359,Our solar system has ______ planets.,8,GK Questions For Class 2,
360,Name the currency of Thailand?,Bhat,GK Questions For Class 2,
361,What is the sound made by a lion?,Roar,GK Questions For Class 2,
362,What is the young one of an elephant called?,Calf,GK Questions For Class 2,
363,A pig lives in a _____.,Sty,GK Questions For Class 2,
364,A year has ___ weeks.,52,GK Questions For Class 2,
365,How many kidneys does a human body have?,2,GK Questions For Class 2,
366,How many strings does a violin have?,4,GK Questions For Class 2,
367,A century has ____ years.,100,GK Questions For Class 2,
368,How many moons does Earth have?,1,GK Questions For Class 2,
369,Saturn has ____ moons.,82,GK Questions For Class 2,
370,How many colours are there in a rainbow?,7,GK Questions For Class 2,
371,In which country can kangaroos be found?,Australia,GK Questions For Class 2,
372,Name the planet in our solar system with the most number of moons?,Saturn,GK Questions For Class 2,
373,Earth’s atmosphere has ____ layers.,5,GK Questions For Class 2,
374,What are the colours of Olympic rings?,"Blue, Red, Green, Yellow and Black",GK Questions For Class 2,
375,A spider has _____ legs.,Eight,GK Questions For Class 2,
376,Which is the smallest continent in the world?,Australia,GK Questions For Class 2,
377,How many days are there in a year?,365,GK Questions For Class 2,
378,Which month has the least number of days?,February,GK Questions For Class 2,
379,Which part of a plant grows under the soil?,Root,GK Questions For Class 2,
380,What is the currency of UK?,Pound Sterling,GK Questions For Class 2,
381,What is the currency of Bangladesh?,Taka,GK Questions For Class 2,
